Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status
mdidims,45 and Above,"Normal, Dark, Warm",Less than 1 week,Tiktok Shop,5,Ya,"5X Ceramide Barrier Repair Moisture Gel adalah pelembap ringan dengan 5 jenis ceramide yang memperbaiki skin barrier dan menjaga hidrasi. Tekstur gel cepat meresap, cocok untuk semua jenis kulit, termasuk sensitif. Bebas pewangi dan iritan, ideal untuk kulit kering atau iritasi.",Palsu
asalylaa,19 - 24,"Dry, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"i really love this product! my skin barrier has improved after using this product, and my skin has become more moisturized and glowing. I highly recommend this product for those of you who have skin problems such as dry skin, dull, textured skin and large pores.",Asli
muthiadesti,30 - 34,"Dry, Medium Light, Neutral",More than 1 year,Watson,5,Ya,"Lebih suka packanging yang pump biar lebih sat-set, cream lembut yang cepat menyerap dan sangat melembabkan, pakenya sepaket sama cleansernya biar lemban maksimal, dilanjut pake makeup bikin makeup jadi gak crack, dipake malem juga agak banyakan biar pas bangun kulit super lembabðŸ¤ðŸ»",Asli
megazullfiana,25 - 29,"Dry, Medium Light, Warm",More than 1 year,Gift,5,Ya,"Si viral yang menurutku beneran sesuai fungsi. Di aku ngelembapinnya dapet, udah gitu ada sensasi ademnya dikulit. Bisa ngeredain redness. Pokonya kalo butuh yg calming aku pakai dia aja. Ceramidenya udah 5kali jadi mantep banget buat perbaikin skinbarrier. Balik lagi balik lagi ke dia",Asli
jhnsaff,25 - 29,"Combination, Medium Light, Neutral",More than 1 year,Shopee,2,Ya,"waktu cobain pas awal productnya lagi hitz banget tapi sayangnya di kulit gak cocok bikin jerawatan, sepertinya untuk kulit acne prone kayak aku gak cocok dengan kandungan ceramide, aku cobain brand lain yang ada kandungan ceramide juga gak cocok. mungkin di product ini memang kandungan utamanya ceramide, padahal aku suka nanget dengan teksturnya gel ringan, namun entah kenapa agak susah meresap di kulit jadi agak lembab gitu hasilnya di kulit.",Asli
ajengaaa,19 - 24,"Combination, Medium Dark, Warm",1 week - 1 month,Tiktok Shop,5,Ya,"Produk hype yang worth to buy!Kalau kalian cari moisturizer yang nyaman (banget) baik dari saat pengaplikasian produk, setelah produk digunakan dan efek produk yang sesuai harapan.Produk ini ga neko-neko, cari yang lembab tapi ringan? bisa meredakan kulit yang iritasi dan breakout? jaga skin barrier? ya ini jawabannya.kalau kalian cari yang anti aging, nanganin jerawat tinggal di combine dengan produk lain berbahan aktif karena moisturizer ini aman banget buat dipakai bersamaan dengan produk lain.",Palsu
kaisma08,25 - 29,"Oily, Medium Light, Neutral",1 month - 3 months,Shopee,4,Ya,Beli ini yg ukuran besar kirain bakal awet ternyata cepet juga habisny. Entah waktu itu kulitku lg kering banget atau emang pelembab ini kurang nendang. Di aku sih biasa aja lembab nya cukup aja dan ga over sampe yg bikin sumuk juga enak dipake sebelum makeup an,Asli
alineho,25 - 29,"Combination, Medium Light, Warm",1 month - 3 months,Gift,5,Ya,"Dari awal kenal Skintific, paling penasaran sama moisturizer dan toner cerramide barriernya dan sesuai prediksi, aku suka sama moisturizernya. Teksturnya gel tapi bukan tipe yang cepat hilang kelembapannya. Ada sensasi â€œdinginâ€ tiap pakai moist ini tapi bukan minty ya. Cepat menyerap, tidak greasy. Cocok dipakai pagi maupun malam",Asli
cocolida,25 - 29,"Combination, Medium Dark, Neutral",3 months - 6 months,Shopee,5,Ya,"Kulit yg tadinya kusam dan kering bisa langsung tershooting alias lembab pwoll pake moist skintific ini cintaaaaa banget sama produk ini Defisinisi murah, meriah mantapp, pokoknya kalian harus coba bagus banget banget produknyaaa ini",Asli
Yumna31,19 - 24,"Dry, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,moisturizer yang bagus banget bener-bener cocok di kulit aku jadi sangat lembab. bakal di repurchase lagi aku udah pakai lama dan sejauh inikulitkuamansenang banget bisa cocok sama moisturizer ini pokoknya recommended. semogajuga cocok dikalian,Asli
stellathalia,19 - 24,"Oily, Light, Cool",More than 1 year,Shopee,5,Ya,"Moist yang bikin kulit aku kalem saat lagi bruntusan, suka banget sama moist ini, berkali kali bruntusan tapi di bantu balik lagi sama moist ini. Udah banyak banget aku repruche, sangat rekomen walau kulitnya oily acne prone. Its so good gais",Asli
Tika0511,30 - 34,"Combination, Medium Light, Neutral",6 months - 1 year,Guardian,5,Ya,"Sangat melembabkan, saya pakai juga maskernya, dan benarÂ² mencerahkan untuk masker pink.. untuk moisturizer yang benarÂ² melembabkan ini, bikin kulit saya tidak kering lagi.. sukses untuk skintific, nanti saya akan coba produk lainnya ðŸ¤—",Asli
karinayuniarti_,25 - 29,"Combination, Medium Light, Neutral",1 week - 1 month,Female Daily Studio,5,Ya,SkintificBaguss bgt untuk calming yang lagi rusak skin barrier nya. Untk kemerahan bisa mereda ada spatulanya. Mempermudah traveling dan sangat higienis. Cepat meresap kekulit dan bisa sebagai primer sebelum makeup. Hanya saja harus menyerap dahulu,Asli
adelisajp,25 - 29,"Combination, Medium Light, Cool",More than 1 year,Official Brand Store,5,Ya,"produk ini buat kulit jadi terhidrasi banget, si aku yang kulit kombinasi (bagian cheeks tergolong dryskin) jadi ga gampang kering dan malah terlihat plumpy. dipake daily (day and night) cucok banget. aman sentosa ini kulit kalo udah pake sebelum makeup",Asli
cila14,25 - 29,"Combination, Light, Cool",More than 1 year,Shopee,5,Ya,Baguss bgt untuk calming yang lagi rusak skin barrier nya. Untk kemerahan bisa mereda ada spatulanya. Mempermudah traveling dan sangat higienis. Cepat meresap kekulit dan bisa sebagai primer sebelum makeup. Hanya saja harus menyerap dahulu,Asli
ii_conie,25 - 29,"Normal, Medium, Neutral",More than 1 year,Shopee,5,Ya,"Pelembab terampuh untuk kulit geradakan, aku sering pakai ini kalau habis eksfoliasi, buat kulit aku jadi lembut dan gak iritasi setelah eksfoliasi, kulit jadi lembab dan kenyal, dipakai sebelum makeup juga bagus, hasil makeup jadi flawless",Asli
enggolit,25 - 29,"Combination, Medium Dark, Neutral",1 month - 3 months,Brand Website,5,Ya,"Suka produknya, buat muka glowing dan cerah. Menyamarkan nota hitam. Buat kulit makin sehat, semoga cocok selalu pakai produk ini. Memang skintific ngak diragukan lagi produknya. Kehinaan sejuta umat. Semoga skintific selalu makin sukses",Asli
