Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status,tokens,stopwords,stemmed_tokens
mdidims,45 and Above,"Normal, Dark, Warm",Less than 1 week,Tiktok Shop,5,Ya,"5X Ceramide Barrier Repair Moisture Gel adalah pelembap ringan dengan 5 jenis ceramide yang memperbaiki skin barrier dan menjaga hidrasi. Tekstur gel cepat meresap, cocok untuk semua jenis kulit, termasuk sensitif. Bebas pewangi dan iritan, ideal untuk kulit kering atau iritasi.",Palsu,"['5X', 'Ceramide', 'Barrier', 'Repair', 'Moisture', 'Gel', 'adalah', 'pelembap', 'ringan', 'dengan', '5', 'jenis', 'ceramide', 'yang', 'memperbaiki', 'skin', 'barrier', 'dan', 'menjaga', 'hidrasi', '.', 'Tekstur', 'gel', 'cepat', 'meresap', ',', 'cocok', 'untuk', 'semua', 'jenis', 'kulit', ',', 'termasuk', 'sensitif', '.', 'Bebas', 'pewangi', 'dan', 'iritan', ',', 'ideal', 'untuk', 'kulit', 'kering', 'atau', 'iritasi', '.']","['5X', 'Ceramide', 'Barrier', 'Repair', 'Moisture', 'Gel', 'pelembap', 'ringan', '5', 'jenis', 'ceramide', 'memperbaiki', 'skin', 'barrier', 'menjaga', 'hidrasi', '.', 'Tekstur', 'gel', 'cepat', 'meresap', ',', 'cocok', 'jenis', 'kulit', ',', 'sensitif', '.', 'Bebas', 'pewangi', 'iritan', ',', 'ideal', 'kulit', 'kering', 'iritasi', '.']","['5x', 'ceramide', 'barrier', 'repair', 'moisture', 'gel', 'lembap', 'ringan', '5', 'jenis', 'ceramide', 'baik', 'skin', 'barrier', 'jaga', 'hidrasi', '', 'tekstur', 'gel', 'cepat', 'resap', '', 'cocok', 'jenis', 'kulit', '', 'sensitif', '', 'bebas', 'wangi', 'irit', '', 'ideal', 'kulit', 'kering', 'iritasi', '']"
asalylaa,19 - 24,"Dry, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"i really love this product! my skin barrier has improved after using this product, and my skin has become more moisturized and glowing. I highly recommend this product for those of you who have skin problems such as dry skin, dull, textured skin and large pores.",Asli,"['i', 'really', 'love', 'this', 'product', '!', 'my', 'skin', 'barrier', 'has', 'improved', 'after', 'using', 'this', 'product', ',', 'and', 'my', 'skin', 'has', 'become', 'more', 'moisturized', 'and', 'glowing', '.', 'I', 'highly', 'recommend', 'this', 'product', 'for', 'those', 'of', 'you', 'who', 'have', 'skin', 'problems', 'such', 'as', 'dry', 'skin', ',', 'dull', ',', 'textured', 'skin', 'and', 'large', 'pores', '.']","['i', 'really', 'love', 'this', 'product', '!', 'my', 'skin', 'barrier', 'has', 'improved', 'after', 'using', 'this', 'product', ',', 'and', 'my', 'skin', 'has', 'become', 'more', 'moisturized', 'and', 'glowing', '.', 'I', 'highly', 'recommend', 'this', 'product', 'for', 'those', 'of', 'you', 'who', 'have', 'skin', 'problems', 'such', 'as', 'dry', 'skin', ',', 'dull', ',', 'textured', 'skin', 'and', 'large', 'pores', '.']","['i', 'really', 'love', 'this', 'product', '', 'my', 'skin', 'barrier', 'has', 'improved', 'after', 'using', 'this', 'product', '', 'and', 'my', 'skin', 'has', 'become', 'more', 'moisturized', 'and', 'glowing', '', 'i', 'highly', 'recommend', 'this', 'product', 'for', 'those', 'of', 'you', 'who', 'have', 'skin', 'problems', 'such', 'as', 'dry', 'skin', '', 'dull', '', 'textured', 'skin', 'and', 'large', 'pores', '']"
muthiadesti,30 - 34,"Dry, Medium Light, Neutral",More than 1 year,Watson,5,Ya,"Lebih suka packanging yang pump biar lebih sat-set, cream lembut yang cepat menyerap dan sangat melembabkan, pakenya sepaket sama cleansernya biar lemban maksimal, dilanjut pake makeup bikin makeup jadi gak crack, dipake malem juga agak banyakan biar pas bangun kulit super lembabðŸ¤ðŸ»",Asli,"['Lebih', 'suka', 'packanging', 'yang', 'pump', 'biar', 'lebih', 'sat', '-', 'set', ',', 'cream', 'lembut', 'yang', 'cepat', 'menyerap', 'dan', 'sangat', 'melembabkan', ',', 'pakenya', 'sepaket', 'sama', 'cleansernya', 'biar', 'lemban', 'maksimal', ',', 'dilanjut', 'pake', 'makeup', 'bikin', 'makeup', 'jadi', 'gak', 'crack', ',', 'dipake', 'malem', 'juga', 'agak', 'banyakan', 'biar', 'pas', 'bangun', 'kulit', 'super', 'lembabðŸ¤\x8fðŸ\x8f', '»']","['suka', 'packanging', 'pump', 'biar', 'sat', '-', 'set', ',', 'cream', 'lembut', 'cepat', 'menyerap', 'melembabkan', ',', 'pakenya', 'sepaket', 'cleansernya', 'biar', 'lemban', 'maksimal', ',', 'dilanjut', 'pake', 'makeup', 'bikin', 'makeup', 'gak', 'crack', ',', 'dipake', 'malem', 'banyakan', 'biar', 'pas', 'bangun', 'kulit', 'super', 'lembabðŸ¤\x8fðŸ\x8f', '»']","['suka', 'packanging', 'pump', 'biar', 'sat', '-', 'set', '', 'cream', 'lembut', 'cepat', 'serap', 'melembabkan', '', 'pakenya', 'paket', 'cleansernya', 'biar', 'lemban', 'maksimal', '', 'lanjut', 'pake', 'makeup', 'bikin', 'makeup', 'gak', 'crack', '', 'dipake', 'malem', 'banyak', 'biar', 'pas', 'bangun', 'kulit', 'super', 'lembab', '']"
megazullfiana,25 - 29,"Dry, Medium Light, Warm",More than 1 year,Gift,5,Ya,"Si viral yang menurutku beneran sesuai fungsi. Di aku ngelembapinnya dapet, udah gitu ada sensasi ademnya dikulit. Bisa ngeredain redness. Pokonya kalo butuh yg calming aku pakai dia aja. Ceramidenya udah 5kali jadi mantep banget buat perbaikin skinbarrier. Balik lagi balik lagi ke dia",Asli,"['Si', 'viral', 'yang', 'menurutku', 'beneran', 'sesuai', 'fungsi', '.', 'Di', 'aku', 'ngelembapinnya', 'dapet', ',', 'udah', 'gitu', 'ada', 'sensasi', 'ademnya', 'dikulit', '.', 'Bisa', 'ngeredain', 'redness', '.', 'Pokonya', 'kalo', 'butuh', 'yg', 'calming', 'aku', 'pakai', 'dia', 'aja', '.', 'Ceramidenya', 'udah', '5kali', 'jadi', 'mantep', 'banget', 'buat', 'perbaikin', 'skinbarrier', '.', 'Balik', 'lagi', 'balik', 'lagi', 'ke', 'dia']","['Si', 'viral', 'menurutku', 'beneran', 'sesuai', 'fungsi', '.', 'ngelembapinnya', 'dapet', ',', 'udah', 'gitu', 'sensasi', 'ademnya', 'dikulit', '.', 'ngeredain', 'redness', '.', 'Pokonya', 'kalo', 'butuh', 'yg', 'calming', 'pakai', 'aja', '.', 'Ceramidenya', 'udah', '5kali', 'mantep', 'banget', 'perbaikin', 'skinbarrier', '.']","['si', 'viral', 'turut', 'beneran', 'sesuai', 'fungsi', '', 'ngelembapinnya', 'dapet', '', 'udah', 'gitu', 'sensasi', 'adem', 'kulit', '', 'ngeredain', 'redness', '', 'poko', 'kalo', 'butuh', 'yg', 'calming', 'pakai', 'aja', '', 'ceramidenya', 'udah', '5kali', 'mantep', 'banget', 'perbaikin', 'skinbarrier', '']"
jhnsaff,25 - 29,"Combination, Medium Light, Neutral",More than 1 year,Shopee,2,Ya,"waktu cobain pas awal productnya lagi hitz banget tapi sayangnya di kulit gak cocok bikin jerawatan, sepertinya untuk kulit acne prone kayak aku gak cocok dengan kandungan ceramide, aku cobain brand lain yang ada kandungan ceramide juga gak cocok. mungkin di product ini memang kandungan utamanya ceramide, padahal aku suka nanget dengan teksturnya gel ringan, namun entah kenapa agak susah meresap di kulit jadi agak lembab gitu hasilnya di kulit.",Asli,"['waktu', 'cobain', 'pas', 'awal', 'productnya', 'lagi', 'hitz', 'banget', 'tapi', 'sayangnya', 'di', 'kulit', 'gak', 'cocok', 'bikin', 'jerawatan', ',', 'sepertinya', 'untuk', 'kulit', 'acne', 'prone', 'kayak', 'aku', 'gak', 'cocok', 'dengan', 'kandungan', 'ceramide', ',', 'aku', 'cobain', 'brand', 'lain', 'yang', 'ada', 'kandungan', 'ceramide', 'juga', 'gak', 'cocok', '.', 'mungkin', 'di', 'product', 'ini', 'memang', 'kandungan', 'utamanya', 'ceramide', ',', 'padahal', 'aku', 'suka', 'nanget', 'dengan', 'teksturnya', 'gel', 'ringan', ',', 'namun', 'entah', 'kenapa', 'agak', 'susah', 'meresap', 'di', 'kulit', 'jadi', 'agak', 'lembab', 'gitu', 'hasilnya', 'di', 'kulit', '.']","['cobain', 'pas', 'productnya', 'hitz', 'banget', 'sayangnya', 'kulit', 'gak', 'cocok', 'bikin', 'jerawatan', ',', 'kulit', 'acne', 'prone', 'kayak', 'gak', 'cocok', 'kandungan', 'ceramide', ',', 'cobain', 'brand', 'kandungan', 'ceramide', 'gak', 'cocok', '.', 'product', 'kandungan', 'utamanya', 'ceramide', ',', 'suka', 'nanget', 'teksturnya', 'gel', 'ringan', ',', 'susah', 'meresap', 'kulit', 'lembab', 'gitu', 'hasilnya', 'kulit', '.']","['cobain', 'pas', 'productnya', 'hitz', 'banget', 'sayang', 'kulit', 'gak', 'cocok', 'bikin', 'jerawat', '', 'kulit', 'acne', 'prone', 'kayak', 'gak', 'cocok', 'kandung', 'ceramide', '', 'cobain', 'brand', 'kandung', 'ceramide', 'gak', 'cocok', '', 'product', 'kandung', 'utama', 'ceramide', '', 'suka', 'nanget', 'tekstur', 'gel', 'ringan', '', 'susah', 'resap', 'kulit', 'lembab', 'gitu', 'hasil', 'kulit', '']"
ajengaaa,19 - 24,"Combination, Medium Dark, Warm",1 week - 1 month,Tiktok Shop,5,Ya,"Produk hype yang worth to buy!Kalau kalian cari moisturizer yang nyaman (banget) baik dari saat pengaplikasian produk, setelah produk digunakan dan efek produk yang sesuai harapan.Produk ini ga neko-neko, cari yang lembab tapi ringan? bisa meredakan kulit yang iritasi dan breakout? jaga skin barrier? ya ini jawabannya.kalau kalian cari yang anti aging, nanganin jerawat tinggal di combine dengan produk lain berbahan aktif karena moisturizer ini aman banget buat dipakai bersamaan dengan produk lain.",Palsu,"['Produk', 'hype', 'yang', 'worth', 'to', 'buy!Kalau', 'kalian', 'cari', 'moisturizer', 'yang', 'nyaman', '(', 'banget', ')', 'baik', 'dari', 'saat', 'pengaplikasian', 'produk', ',', 'setelah', 'produk', 'digunakan', 'dan', 'efek', 'produk', 'yang', 'sesuai', 'harapan', '.', 'Produk', 'ini', 'ga', 'neko', '-', 'neko', ',', 'cari', 'yang', 'lembab', 'tapi', 'ringan', '?', 'bisa', 'meredakan', 'kulit', 'yang', 'iritasi', 'dan', 'breakout', '?', 'jaga', 'skin', 'barrier', '?', 'ya', 'ini', 'jawabannya.kalau', 'kalian', 'cari', 'yang', 'anti', 'aging', ',', 'nanganin', 'jerawat', 'tinggal', 'di', 'combine', 'dengan', 'produk', 'lain', 'berbahan', 'aktif', 'karena', 'moisturizer', 'ini', 'aman', 'banget', 'buat', 'dipakai', 'bersamaan', 'dengan', 'produk', 'lain', '.']","['Produk', 'hype', 'worth', 'to', 'buy!Kalau', 'cari', 'moisturizer', 'nyaman', '(', 'banget', ')', 'pengaplikasian', 'produk', ',', 'produk', 'efek', 'produk', 'sesuai', 'harapan', '.', 'Produk', 'ga', 'neko', '-', 'neko', ',', 'cari', 'lembab', 'ringan', '?', 'meredakan', 'kulit', 'iritasi', 'breakout', '?', 'jaga', 'skin', 'barrier', '?', 'ya', 'jawabannya.kalau', 'cari', 'anti', 'aging', ',', 'nanganin', 'jerawat', 'tinggal', 'combine', 'produk', 'berbahan', 'aktif', 'moisturizer', 'aman', 'banget', 'dipakai', 'bersamaan', 'produk', '.']","['produk', 'hype', 'worth', 'to', 'buy kalau', 'cari', 'moisturizer', 'nyaman', '', 'banget', '', 'aplikasi', 'produk', '', 'produk', 'efek', 'produk', 'sesuai', 'harap', '', 'produk', 'ga', 'neko', '-', 'neko', '', 'cari', 'lembab', 'ringan', '', 'reda', 'kulit', 'iritasi', 'breakout', '', 'jaga', 'skin', 'barrier', '', 'ya', 'jawab kalau', 'cari', 'anti', 'aging', '', 'nanganin', 'jerawat', 'tinggal', 'combine', 'produk', 'bahan', 'aktif', 'moisturizer', 'aman', 'banget', 'pakai', 'sama', 'produk', '']"
kaisma08,25 - 29,"Oily, Medium Light, Neutral",1 month - 3 months,Shopee,4,Ya,Beli ini yg ukuran besar kirain bakal awet ternyata cepet juga habisny. Entah waktu itu kulitku lg kering banget atau emang pelembab ini kurang nendang. Di aku sih biasa aja lembab nya cukup aja dan ga over sampe yg bikin sumuk juga enak dipake sebelum makeup an,Asli,"['Beli', 'ini', 'yg', 'ukuran', 'besar', 'kirain', 'bakal', 'awet', 'ternyata', 'cepet', 'juga', 'habisny', '.', 'Entah', 'waktu', 'itu', 'kulitku', 'lg', 'kering', 'banget', 'atau', 'emang', 'pelembab', 'ini', 'kurang', 'nendang', '.', 'Di', 'aku', 'sih', 'biasa', 'aja', 'lembab', 'nya', 'cukup', 'aja', 'dan', 'ga', 'over', 'sampe', 'yg', 'bikin', 'sumuk', 'juga', 'enak', 'dipake', 'sebelum', 'makeup', 'an']","['Beli', 'yg', 'ukuran', 'kirain', 'awet', 'cepet', 'habisny', '.', 'kulitku', 'lg', 'kering', 'banget', 'emang', 'pelembab', 'nendang', '.', 'sih', 'aja', 'lembab', 'nya', 'aja', 'ga', 'over', 'sampe', 'yg', 'bikin', 'sumuk', 'enak', 'dipake', 'makeup', 'an']","['beli', 'yg', 'ukur', 'kirain', 'awet', 'cepet', 'habisny', '', 'kulit', 'lg', 'kering', 'banget', 'emang', 'pelembab', 'nendang', '', 'sih', 'aja', 'lembab', 'nya', 'aja', 'ga', 'over', 'sampe', 'yg', 'bikin', 'sumuk', 'enak', 'dipake', 'makeup', 'an']"
alineho,25 - 29,"Combination, Medium Light, Warm",1 month - 3 months,Gift,5,Ya,"Dari awal kenal Skintific, paling penasaran sama moisturizer dan toner cerramide barriernya dan sesuai prediksi, aku suka sama moisturizernya. Teksturnya gel tapi bukan tipe yang cepat hilang kelembapannya. Ada sensasi â€œdinginâ€ tiap pakai moist ini tapi bukan minty ya. Cepat menyerap, tidak greasy. Cocok dipakai pagi maupun malam",Asli,"['Dari', 'awal', 'kenal', 'Skintific', ',', 'paling', 'penasaran', 'sama', 'moisturizer', 'dan', 'toner', 'cerramide', 'barriernya', 'dan', 'sesuai', 'prediksi', ',', 'aku', 'suka', 'sama', 'moisturizernya', '.', 'Teksturnya', 'gel', 'tapi', 'bukan', 'tipe', 'yang', 'cepat', 'hilang', 'kelembapannya', '.', 'Ada', 'sensasi', 'â€œdinginâ€\x9d', 'tiap', 'pakai', 'moist', 'ini', 'tapi', 'bukan', 'minty', 'ya', '.', 'Cepat', 'menyerap', ',', 'tidak', 'greasy', '.', 'Cocok', 'dipakai', 'pagi', 'maupun', 'malam']","['kenal', 'Skintific', ',', 'penasaran', 'moisturizer', 'toner', 'cerramide', 'barriernya', 'sesuai', 'prediksi', ',', 'suka', 'moisturizernya', '.', 'Teksturnya', 'gel', 'tipe', 'cepat', 'hilang', 'kelembapannya', '.', 'sensasi', 'â€œdinginâ€\x9d', 'pakai', 'moist', 'minty', 'ya', '.', 'Cepat', 'menyerap', ',', 'greasy', '.', 'Cocok', 'dipakai', 'pagi', 'malam']","['kenal', 'skintific', '', 'penasaran', 'moisturizer', 'toner', 'cerramide', 'barriernya', 'sesuai', 'prediksi', '', 'suka', 'moisturizernya', '', 'tekstur', 'gel', 'tipe', 'cepat', 'hilang', 'lembap', '', 'sensasi', 'dingin', 'pakai', 'moist', 'minty', 'ya', '', 'cepat', 'serap', '', 'greasy', '', 'cocok', 'pakai', 'pagi', 'malam']"
cocolida,25 - 29,"Combination, Medium Dark, Neutral",3 months - 6 months,Shopee,5,Ya,"Kulit yg tadinya kusam dan kering bisa langsung tershooting alias lembab pwoll pake moist skintific ini cintaaaaa banget sama produk ini Defisinisi murah, meriah mantapp, pokoknya kalian harus coba bagus banget banget produknyaaa ini",Asli,"['Kulit', 'yg', 'tadinya', 'kusam', 'dan', 'kering', 'bisa', 'langsung', 'tershooting', 'alias', 'lembab', 'pwoll', 'pake', 'moist', 'skintific', 'ini', 'cintaaaaa', 'banget', 'sama', 'produk', 'ini', 'Defisinisi', 'murah', ',', 'meriah', 'mantapp', ',', 'pokoknya', 'kalian', 'harus', 'coba', 'bagus', 'banget', 'banget', 'produknyaaa', 'ini']","['Kulit', 'yg', 'kusam', 'kering', 'langsung', 'tershooting', 'alias', 'lembab', 'pwoll', 'pake', 'moist', 'skintific', 'cintaaaaa', 'banget', 'produk', 'Defisinisi', 'murah', ',', 'meriah', 'mantapp', ',', 'pokoknya', 'coba', 'bagus', 'banget', 'banget', 'produknyaaa']","['kulit', 'yg', 'kusam', 'kering', 'langsung', 'tershooting', 'alias', 'lembab', 'pwoll', 'pake', 'moist', 'skintific', 'cintaaaaa', 'banget', 'produk', 'defisinisi', 'murah', '', 'riah', 'mantapp', '', 'pokok', 'coba', 'bagus', 'banget', 'banget', 'produknyaaa']"
Yumna31,19 - 24,"Dry, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,moisturizer yang bagus banget bener-bener cocok di kulit aku jadi sangat lembab. bakal di repurchase lagi aku udah pakai lama dan sejauh inikulitkuamansenang banget bisa cocok sama moisturizer ini pokoknya recommended. semogajuga cocok dikalian,Asli,"['moisturizer', 'yang', 'bagus', 'banget', 'bener', '-', 'bener', 'cocok', 'di', 'kulit', 'aku', 'jadi', 'sangat', 'lembab', '.', 'bakal', 'di', 'repurchase', 'lagi', 'aku', 'udah', 'pakai', 'lama', 'dan', 'sejauh', 'inikulitkuamansenang', 'banget', 'bisa', 'cocok', 'sama', 'moisturizer', 'ini', 'pokoknya', 'recommended', '.', 'semogajuga', 'cocok', 'dikalian']","['moisturizer', 'bagus', 'banget', 'bener', '-', 'bener', 'cocok', 'kulit', 'lembab', '.', 'repurchase', 'udah', 'pakai', 'inikulitkuamansenang', 'banget', 'cocok', 'moisturizer', 'pokoknya', 'recommended', '.', 'semogajuga', 'cocok', 'dikalian']","['moisturizer', 'bagus', 'banget', 'bener', '-', 'bener', 'cocok', 'kulit', 'lembab', '', 'repurchase', 'udah', 'pakai', 'inikulitkuamansenang', 'banget', 'cocok', 'moisturizer', 'pokok', 'recommended', '', 'semogajuga', 'cocok', 'kali']"
